ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Label,Project,ProjectFile,ProjectName,EntryDate,Comment,Link
p_abuiabui1241,Abui,abui1241,Abui,abz,Papunesia,-8.31058,124.588,,Abui_abui1241,parabank,Abui abui1241.txt,,20170621,,
p_achineseachi1257,Acehnese,achi1257,Acehnese,ace,Papunesia,3.90757,96.6032,Austronesian,Achinese_achi1257,parabank,Achinese achi1257.txt,,20170718,,https://collectionscanada.gc.ca/obj/s4/f2/dsk2/ftp01/MQ37156.pdf
p_adangadan1251,Adang,adan1251,Adang,adn,Papunesia,-8.18958,124.448,,Adang_adan1251,parabank,Adang adan1251.txt,,20170621,,
p_agobendekawamagob1244,Agob-Ende-Kawam,agob1244,Agob-Ende-Kawam,kit,Papunesia,-9.08521,142.532,,Agob-Ende-Kawam_agob1244,parabank,Agob-Ende-Kawam agob1244.txt,,20171204,,
p_aklanonakla1241,Aklanon,akla1241,Kailibo Aklanon,akl,Papunesia,11.5543,122.354,Austronesian,Aklanon_akla1241,parabank,Aklanon akla1241.txt,,20170614,,
p_alanganalan1249,Alangan,alan1249,Alangan,alj,Papunesia,13.0982,121.022,Austronesian,Alangan_alan1249,parabank,Alangan alan1249.txt,,20170616,,
p_ampibabolaujeampi1237,Ampibabo,ampi1237,Ampibabo,,Papunesia,NA,NA,Austronesian,Ampibabo_Lauje_ampi1237,parabank,Ampibabo Lauje ampi1237.txt,,20161207,,
p_anejomanei1239,Aneityum,anei1239,Aneityum,aty,Papunesia,-20.1864,169.825,Austronesian,Anejom_anei1239,parabank,Anejom anei1239.txt,,20161207,,
p_aniwaaniw1237,Aniwa,aniw1237,Aniwa,,Papunesia,NA,NA,Austronesian,Aniwa_aniw1237,parabank,Aniwa aniw1237.txt,,20170514,,
p_anutaanut1237,Anuta,anut1237,Anuta,aud,Papunesia,-11.61,169.85,Austronesian,Anuta_anut1237,parabank,Anuta anut1237.txt,,NA,,
p_arabanaarab1267a,Arabana,arab1267,Arabana,ard,Australia,-28.705,135.449,Pama-Nyungan,Arabana_arab1267a,parabank,Arabana arab1267.txt,,20170127,,
p_arakiarak1252,Araki,arak1252,Araki,akr,Papunesia,-15.632997,166.952542,Austronesian,Araki_arak1252,parabank,Araki arak1252.txt,,20161205,,
p_arearearea1240,'Are'are,area1240,'Are'are,alu,Papunesia,-9.20699,161.158,Austronesian,'Are'are_area1240,parabank,'Are'are area1240.txt,,20170407,,
p_ariamoukariamouk1240a,Mouk,mouk1240,Mouk,,Papunesia,NA,NA,Austronesian,Aria_(Mouk-Aria)_mouk1240a,parabank,Aria (Mouk-Aria) mouk1240a.txt,,NA,,
p_arosiaros1241,Arosi,aros1241,Arosi,aia,Papunesia,-10.2441,161.432,Austronesian,Arosi_aros1241,parabank,Arosi aros1241.txt,,20170404,,
p_aseraaser1237,Asera,aser1237,Asera,,Papunesia,NA,NA,Austronesian,Asera_aser1237,parabank,Asera aser1237.txt,,20161209,,
p_asfauslanaust1271,Auslan,aust1271,Auslan,asf,Australia,-30,145,,ASF_Auslan_aust1271,parabank,ASF_Auslan_aust1271.txt,,20191115,,
p_atchinatch1238,Atchin,atch1238,Atchin,,Papunesia,NA,NA,Austronesian,Atchin_atch1238,parabank,Atchin atch1238.txt,,20170602,,
p_atoniuabmetouabm1237,Uab Meto,uabm1237,Uab Meto,aoz,Papunesia,-9.77284,124.144,Austronesian,Atoni_(Uab_Meto)_uabm1237,parabank,Atoni (Uab Meto) uabm1237.txt,,20170614,,
p_attaatta1244,Atta,atta1244,Atta,,,NA,NA,Austronesian,Atta_atta1244,parabank,Atta atta1244.txt,,NA,,
p_avatimeavat1244,Avatime,avat1244,Avatime,avn,Africa,6.8688,0.41314,Atlantic-Congo,Avatime_avat1244,parabank,Avatime_avat1244.txt,,20191112,,
p_avavabangasadialectkatb1237,Avava,katb1237,Avava,tmb,Papunesia,-16.2701,167.484,Austronesian,Avava_(Bangasa_Dialect)_katb1237,parabank,Avava (Bangasa Dialect) katb1237.txt,,20171030,,
